Year,Tag,Number,Total
"2018",".a","8","2229551"
"2018",".app","14","2229551"
"2018",".aspxauth","7","2229551"
"2018",".class-file","19","2229551"
"2018",".d.ts","17","2229551"
"2018",".doc","11","2229551"
"2018",".git-folder","8","2229551"
"2018",".htaccess","5459","2229551"
"2018",".htpasswd","44","2229551"
"2018",".ico","1","2229551"
"2018",".lib","9","2229551"
"2018",".mov","4","2229551"
"2018",".net","18764","2229551"
"2018",".net-1.1","10","2229551"
"2018",".net-2.0","39","2229551"
"2018",".net-3.0","1","2229551"
"2018",".net-3.5","113","2229551"
"2018",".net-4.0","136","2229551"
"2018",".net-4.5","142","2229551"
"2018",".net-4.6","56","2229551"
"2018",".net-4.6.1","42","2229551"
"2018",".net-4.6.2","25","2229551"
"2018",".net-4.7","29","2229551"
"2018",".net-4.7.1","33","2229551"
"2018",".net-4.7.2","39","2229551"
"2018",".net-assembly","258","2229551"
"2018",".net-attributes","4","2229551"
"2018",".net-cf-3.5","9","2229551"
"2018",".net-client-profile","1","2229551"
"2018",".net-core","6315","2229551"
"2018",".net-core-1.1","10","2229551"
"2018",".net-core-2.0","156","2229551"
"2018",".net-core-2.1","115","2229551"
"2018",".net-core-rc1","1","2229551"
"2018",".net-core-rc2","1","2229551"
"2018",".net-framework-version","148","2229551"
"2018",".net-internals","4","2229551"
"2018",".net-micro-framework","1","2229551"
"2018",".net-native","19","2229551"
"2018",".netrc","1","2229551"
"2018",".net-reflector","1","2229551"
"2018",".net-remoting","16","2229551"
"2018",".net-security","9","2229551"
"2018",".net-services","2","2229551"
"2018",".net-standard","424","2229551"
"2018",".net-standard-1.4","3","2229551"
"2018",".net-standard-2.0","245","2229551"
"2018",".nettiers","3","2229551"
"2018",".obj","47","2229551"
"2018",".post","8","2229551"
"2018",".profile","7","2229551"
"2018",".so","44","2229551"
"2018",".when","19","2229551"
"2018",".x","1","2229551"
"2018","128bit","5","2229551"
"2018","12factor","12","2229551"
"2018","16-bit","26","2229551"
"2018","1wire","3","2229551"
"2018","2.5d","1","2229551"
"2018","2048","6","2229551"
"2018","23andme-api","2","2229551"
"2018","2-3-tree","5","2229551"
"2018","24bit","5","2229551"
"2018","256color","1","2229551"
"2018","2checkout","11","2229551"
"2018","2d","523","2229551"
"2018","2d-3d-conversion","1","2229551"
"2018","2d-games","95","2229551"
"2018","2-digit-year","1","2229551"
"2018","2dsphere","6","2229551"
"2018","2d-vector","12","2229551"
"2018","2phase-commit","3","2229551"
"2018","2-satisfiability","3","2229551"
"2018","2sxc","69","2229551"
"2018","2-way-object-databinding","30","2229551"
"2018","3270","7","2229551"
"2018","32-bit","96","2229551"
"2018","32bit-64bit","132","2229551"
"2018","32feet","21","2229551"
"2018","360-degrees","31","2229551"
"2018","360-panorama","39","2229551"
"2018","360-panorama-viewer","5","2229551"
"2018","360-virtual-reality","38","2229551"
"2018","3cx","8","2229551"
"2018","3d","1469","2229551"
"2018","3d.io","19","2229551"
"2018","3dcamera","6","2229551"
"2018","3des","30","2229551"
"2018","3d-model","44","2229551"
"2018","3d-modelling","52","2229551"
"2018","3d-printing","14","2229551"
"2018","3dr","4","2229551"
"2018","3d-reconstruction","51","2229551"
"2018","3d-rendering","11","2229551"
"2018","3ds","12","2229551"
"2018","3d-secure","13","2229551"
"2018","3dsmax","76","2229551"
"2018","3d-studio","2","2229551"
"2018","3d-texture","2","2229551"
"2018","3dtouch","44","2229551"
"2018","3g","13","2229551"
"2018","3g-network","3","2229551"
"2018","3gp","5","2229551"
"2018","3nf","13","2229551"
"2018","3-tier","19","2229551"
"2018","3-way-merge","1","2229551"
"2018","4d","22","2229551"
"2018","4d-database","12","2229551"
"2018","4g","21","2229551"
"2018","4gl","7","2229551"
"2018","51degrees","1","2229551"
"2018","64bit","281","2229551"
"2018","6502","21","2229551"
"2018","68000","21","2229551"
"2018","68hc11","1","2229551"
"2018","68hc12","2","2229551"
"2018","7bit","4","2229551"
"2018","7zip","122","2229551"
"2018","802.11","31","2229551"
"2018","802.11p","5","2229551"
"2018","8051","70","2229551"
"2018","8085","4","2229551"
"2018","8bit","15","2229551"
"2018","8-puzzle","19","2229551"
"2018","8thwall-xr","12","2229551"
"2018","a2dp","19","2229551"
"2018","a2lix-translation","2","2229551"
"2018","aaa-security-protocol","4","2229551"
"2018","aabb","11","2229551"
"2018","aac","46","2229551"
"2018","aadhaar","9","2229551"
"2018","aapt","63","2229551"
"2018","aapt2","72","2229551"
"2018","aar","159","2229551"
"2018","aasm","17","2229551"
"2018","abac","51","2229551"
"2018","abaddressbook","12","2229551"
"2018","abap","433","2229551"
"2018","abaqus","77","2229551"
"2018","abbr","3","2229551"
"2018","abbreviation","14","2229551"
"2018","abbyy","17","2229551"
"2018","abc","22","2229551"
"2018","abcl","1","2229551"
"2018","abcpdf","16","2229551"
