Year,Tag,Number,Total
"2014",".htaccess","131","12584"
"2014",".net","107","12584"
"2014",".net-4.0","3","12584"
"2014","1с","22","12584"
"2014","2d","1","12584"
"2014","3d","11","12584"
"2014","7z","3","12584"
"2014","access","27","12584"
"2014","action","3","12584"
"2014","actionbar","13","12584"
"2014","actionscript","13","12584"
"2014","actionscript-3","14","12584"
"2014","active-directory","8","12584"
"2014","activemq","1","12584"
"2014","activerecord","17","12584"
"2014","activex","1","12584"
"2014","activity","54","12584"
"2014","adapter","15","12584"
"2014","addons","1","12584"
"2014","admob","13","12584"
"2014","ado","1","12584"
"2014","ado.net","4","12584"
"2014","afnetworking","2","12584"
"2014","aggregation-framework","1","12584"
"2014","ai","1","12584"
"2014","aide","2","12584"
"2014","ajax","330","12584"
"2014","amazon","2","12584"
"2014","amd","2","12584"
"2014","android","1261","12584"
"2014","android-adb","1","12584"
"2014","android-app","3","12584"
"2014","android-broadcastreceiver","1","12584"
"2014","android-edittext","9","12584"
"2014","android-fragment","53","12584"
"2014","android-intent","13","12584"
"2014","android-layout","14","12584"
"2014","android-linearlayout","4","12584"
"2014","android-manifest","1","12584"
"2014","android-mediaplayer","3","12584"
"2014","android-menu","4","12584"
"2014","android-ndk","3","12584"
"2014","android-scrollview","1","12584"
"2014","android-sdk","50","12584"
"2014","android-service","3","12584"
"2014","android-shared-preferences","3","12584"
"2014","android-spinner","3","12584"
"2014","android-studio","36","12584"
"2014","android-support-library","4","12584"
"2014","android-textview","4","12584"
"2014","android-ui","1","12584"
"2014","android-viewpager","1","12584"
"2014","android-wear","2","12584"
"2014","android-widgets","1","12584"
"2014","angularjs","51","12584"
"2014","animate","4","12584"
"2014","aop","1","12584"
"2014","apache","88","12584"
"2014","apache2","12","12584"
"2014","apache-flex","1","12584"
"2014","apache-poi","3","12584"
"2014","api","22","12584"
"2014","apk","6","12584"
"2014","appdomain","3","12584"
"2014","append","1","12584"
"2014","apple","15","12584"
"2014","applet","6","12584"
"2014","appstore","9","12584"
"2014","apt-get","1","12584"
"2014","arduino","3","12584"
"2014","arm","1","12584"
"2014","arraylist","2","12584"
"2014","asio","1","12584"
"2014","asp","1","12584"
"2014","asp.net","55","12584"
"2014","asp.net-mvc","57","12584"
"2014","asp.net-web-api","1","12584"
"2014","asp.net-webforms","10","12584"
"2014","assembly","1","12584"
"2014","async","4","12584"
"2014","async-await","5","12584"
"2014","async-programming","7","12584"
"2014","asynctask","12","12584"
"2014","atmel-studio","3","12584"
"2014","atom","1","12584"
"2014","attribute","2","12584"
"2014","auth","9","12584"
"2014","autocomplete","1","12584"
"2014","autohotkey","1","12584"
"2014","autolayout","4","12584"
"2014","automapper","1","12584"
"2014","avr","1","12584"
"2014","avr-gcc","3","12584"
"2014","awk","3","12584"
"2014","awt","2","12584"
"2014","azure","2","12584"
"2014","backbone.js","7","12584"
"2014","background-task","1","12584"
"2014","base64","8","12584"
"2014","bash","40","12584"
"2014","bat","9","12584"
"2014","bbcode","1","12584"
"2014","best-practice","1","12584"
"2014","binary","5","12584"
"2014","bind9","2","12584"
"2014","binding","9","12584"
"2014","bios","1","12584"
"2014","bitbucket","10","12584"
"2014","bitmap","6","12584"
"2014","blend","1","12584"
"2014","blender","1","12584"
"2014","blocks","1","12584"
"2014","blowfish","3","12584"
"2014","bluetooth","4","12584"
"2014","blur","2","12584"
"2014","bmp","3","12584"
"2014","boost","18","12584"
"2014","boot","2","12584"
"2014","bootstrap","78","12584"
"2014","border-radius","1","12584"
"2014","borland","7","12584"
"2014","bot","1","12584"
"2014","bower","1","12584"
"2014","breakpoint","1","12584"
"2014","broadcast-receiver","7","12584"
"2014","browser","2","12584"
